avid_student_yesno,user_email,first_name,last_name,avid_user_generation,avid_preferred_language,avid_preferred_language_other,avid_user_timezone,avid_user_days,avid_user_meetupday_sunday,avid_user_meetupday_Monday,avid_user_meetupday_tuesday,avid_user_meetupday_wednesday,avid_user_meetupday_thursday,avid_user_meetupday_friday,avid_user_meetupday_saturday,what_group,avid_user_meetuptime_sunday_morning,avid_user_meetuptime_sunday_afternoon,avid_user_meetuptime_sunday_evening,avid_user_meetuptime_monday_morning,avid_user_meetuptime_monday_afternoon,avid_user_meetuptime_monday_evening,avid_user_meetuptime_tuesday_morning,avid_user_meetuptime_tuesday_afternoon,avid_user_meetuptime_tuesday_evening,avid_user_meetuptime_wednesday_morning,avid_user_meetuptime_wednesday_afternoon,avid_user_meetuptime_wednesday_evening,avid_user_meetuptime_thursday_morning,avid_user_meetuptime_thursday_afternoon,avid_user_meetuptime_thursday_evening,avid_user_meetuptime_friday_morning,avid_user_meetuptime_friday_afternoon,avid_user_meetuptime_friday_evening,avid_user_meetuptime_saturday_morning,avid_user_meetuptime_saturday_afternoon,avid_user_meetuptime_saturday_evening
yes,Z_Pets@gmail.com,Zuzu,Pets,Gen Z or younger (1998 or after),"English,Chinese",,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Thursday",,Monday Afternoon,Tuesday Morning,,Thursday Morning,,,miami,,,,,"time12,time14",,"time8,time10",,,,,,"time8,time10",,,,,,,,
no,H_Gran@gmail.com,Hermione,Granger,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday,Friday",,Monday Afternoon,Tuesday Afternoon,Wednesday Afternoon,Thursday Afternoon,Friday Afternoon,,miami,,,,,"time14,time16",,,"time14,time16",,,"time14,time16",,,"time14,time16",,,"time14,time16",,,,
yes,H_Pott@gmail.com,Harry,Potter,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday",,Monday Morning,,Wednesday Morning,,,,miami,,,,time10,,,,,,"time8,time10",,,,,,,,,,,
no,R_Weas@gmail.com,Ron,Weasley,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Friday,Saturday",Sunday Afternoon,,,,,Friday Afternoon,Saturday Afternoon,myaamia,,"time12,time14",,,,,,,,,,,,,,,"time12,time14",,,"time12,time14",
no,L_Skyw@gmail.com,Luke,Skywalker,Gen Z or younger (1998 or after),English,english,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Thursday,Friday,Saturday",,,,,Thursday Afternoon,Friday Afternoon,Saturday Afternoon,myaamia,,,,,,,,,,,,,,time16,,,time14,,,time14,
yes,L_Orga@gmail.com,Leia,Organa,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Wednesday,,,,Wednesday Morning,,,,miami,,,,,,,,,,time10,,,,,,,,,,,
,P_Amid@gmail.com,Padme,Amidala,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Thursday,,,,,Thursday Afternoon,,,miami,,,,,,,,,,,,,,"time14,time16",,,,,,,
yes,C_Jone@gmail.com,Carl,Jones,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Sunday Afternoon,Monday Afternoon,Tuesday Evening,"Wednesday Morning,Wednesday Afternoon",Thursday Evening,Friday Morning,,miami,,time14,,,time14,,,,time18,time8,time14,,,,time18,time8,,,,,
yes,K_Marx@gmail.com,Karl,Marx,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday,Friday",,"Monday Afternoon,Monday Evening",,Wednesday Evening,,Friday Afternoon,,miami,,,,,"time12,time14,time16",time18,,,,,,time18,,,,,time16,,,,
no,B_Obam@gmail.com,Barack,Obama,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Sunday Evening,Monday Evening,Tuesday Evening,Wednesday Evening,Thursday Evening,Friday Evening,,miami,,,"time18,time20",,,"time18,time20",,,"time18,time20",,,"time18,time20",,,"time18,time20",,,"time18,time20",,,"time18,time20"
